rule_id,class_label
841356,Propagate
1552404,Propagate
1743499,Propagate
2456273,Stable
2647776,Stable
3004302,Complex
3442980,Homogeneous
4362760,Homogeneous
4836874,Propagate
4924312,Propagate
4943787,Propagate
5273064,Stable
5341253,Propagate
5737411,Propagate
5899134,Propagate
6301312,Homogeneous
6686849,Propagate
7263971,Chaotic
7275419,Propagate
7505063,Propagate
7688505,Propagate
7697044,Chaotic
7749469,Propagate
7981680,Stable
8334949,Propagate
8603557,Propagate
8740459,Propagate
9257255,Propagate
9811677,Propagate
9936993,Propagate
10157440,Propagate
10159940,Chaotic
10738071,Propagate
10778582,Complex
10935263,Propagate
11017705,Complex
11492154,Complex
11666790,Complex
11705984,Homogeneous
11806052,Homogeneous
12586008,Stable
13104517,Propagate
13505160,Homogeneous
13516655,Propagate
13679300,Stable
13938521,Propagate
14166536,Homogeneous
14310016,Homogeneous
14694408,Homogeneous
14837456,Stable
15228622,Propagate
15365107,Stable
15618524,Propagate
15997056,Homogeneous
16152870,Propagate
16544312,Stable
16681652,Homogeneous
16690475,Propagate
16988913,Stable
17742606,Stable
19375641,Chaotic
19747540,Chaotic
20008927,Propagate
21597406,Propagate
22503445,Propagate
23814791,Propagate
24048374,Stable
25123659,Stable
25323460,Propagate
26779249,Stable
27178745,Chaotic
27911967,Propagate
28661629,Propagate
29784419,Stable
30787677,Propagate
30884438,Chaotic
30935932,Propagate
31332720,Propagate
31381568,Homogeneous
31521401,Stable
31839889,Propagate
33399693,Stable
33417157,Propagate
33599984,Stable
33673033,Propagate
34780500,Stable
35208804,Complex
35581712,Homogeneous
36429141,Complex
36888727,Stable
37520384,Homogeneous
37529008,Homogeneous
37670912,Homogeneous
38999075,Stable
39404583,Stable
40009587,Propagate
40186061,Propagate
40255223,Propagate
40361651,Chaotic
40682676,Homogeneous
40985788,Chaotic
41086089,Chaotic
41531046,Chaotic
41610640,Homogeneous
41940642,Chaotic
42789408,Homogeneous
43509545,Chaotic
43598698,Chaotic
43676229,Complex
44580480,Homogeneous
